Date,Open,High,Low,Close,Volume,EPS,Net_Income,Equity,Dividends,Revenue,Rolling_PE,ROE,Dividend_Yield
2012-04-02,140.64,142.21,140.36,141.84,151598615.0,4.73037774224536,4635167.451749984,36724411.75858004,1.6954419442344242,96905238.716043,44.03217838388494,12.621488622393128,1.1953200396463792
2012-04-03,141.64,141.88,140.43,141.26,155717384.0,3.1548666798940346,1697995.1684345906,32663096.744262993,1.262453707924011,79499991.5765023,44.37736927123754,5.1985125039707984,0.893709265130972
2012-04-04,140.22,140.34,139.34,139.86,146781144.0,2.2855128526445276,2155307.632419539,18037167.666210964,0.26927298363915475,91979605.89335936,45.26856214001435,11.949257623507476,0.19253037583237145
2012-04-05,139.38,140.2,139.26,139.79,137161910.0,3.1220709711810044,2185156.3606989626,23146632.532314435,0.10871756004307614,80023152.42390183,44.64211998001014,9.440493590799095,0.0777720581179456
2012-04-09,138.03,139.84,137.84,138.22,127440839.0,3.7956579937534096,2792076.73145434,44182359.49126467,0.19045656717958148,91267399.03671896,44.943530361005365,6.319437810935298,0.13779233626073034
2012-04-10,137.95,138.34,135.76,135.9,235129361.0,4.52925808343949,4329531.4246174935,19662643.079110645,1.1278940461895908,84161550.39524731,44.68983241124372,22.019071430011035,0.8299441105147835
2012-04-11,137.29,137.54,136.75,137.0,153297439.0,4.95126123742576,3188876.347685713,15507096.094608555,0.39642369959567625,99783030.83822915,44.314060736565835,20.563981342673234,0.28936036466837683
2012-04-12,137.13,138.9,137.03,138.79,153603844.0,2.719346645688355,4383986.967166729,40960230.35712522,0.45089368707374433,70782127.53923795,45.32924810063265,10.703032988202212,0.3248747655261505
2012-04-13,138.47,138.82,137.01,137.14,169047929.0,2.5103581582421435,2289614.6030951533,48882782.77886704,0.5664083236514705,81710530.76331893,44.295660937686264,4.683887604052274,0.4130146738015682
2012-04-16,137.84,138.04,136.58,137.05,147707377.0,2.956179473932731,4447316.648429057,27361350.64487542,1.8626033910848434,76366715.17024712,44.911811171279545,16.254009921334077,1.3590685086354202
2012-04-17,137.84,139.36,137.7,139.08,147627266.0,1.9865650468115406,1954009.1740355687,17086864.99323591,0.943031479785102,75274753.49502012,46.746663530396994,11.435738356972402,0.6780496691005911
2012-04-18,138.46,139.08,138.38,138.61,122743959.0,4.362890250704928,3930630.8724512453,40548386.38336027,1.539017136861738,74394315.8628456,44.75656248242983,9.693680126477851,1.1103218648450601
2012-04-19,138.63,139.15,137.07,137.72,198512320.0,2.4313880779777395,2953687.2307021488,28457779.362872526,1.5437448763592097,71128491.67220327,45.080358400117,10.379190846337364,1.120930058349702
2012-04-20,138.33,138.83,137.87,137.95,142867082.0,3.801759218215003,1574218.6410084488,44550791.36453838,0.15711809532767623,71367681.81063153,44.25947408257305,3.5335368750856766,0.11389495855576386
